amount,type,category,date,paymentMethod,description,tags,account
1640,expense,rent,2025-12-24,debit_card,Spending on rent,rent;weekly,wallet
4591,expense,transport,2025-10-05,credit_card,Spending on transport,transport;recurring,savings
3883,expense,transport,2026-01-11,cash,Spending on transport,weekly;budget,savings
4646,income,salary,2026-01-05,cash,Salary,salary;payroll,checking
2566,expense,food,2025-07-21,bank_transfer,Spending on food,weekly;food,savings
3659,expense,transport,2025-08-05,bank_transfer,Spending on transport,transport;recurring,credit_card
4072,expense,utilities,2026-01-30,credit_card,Spending on utilities,budget;budget,wallet
1429,expense,entertainment,2025-11-28,credit_card,Spending on entertainment,essentials;budget,checking
3007,expense,food,2025-11-07,bank_transfer,Spending on food,recurring;recurring,wallet
4323,expense,food,2025-07-14,credit_card,Spending on food,weekly;recurring,checking
1209,expense,shopping,2025-10-14,bank_transfer,Spending on shopping,budget;weekly,checking
4787,expense,entertainment,2025-12-14,bank_transfer,Spending on entertainment,essentials;weekly,savings
2875,expense,food,2026-04-04,debit_card,Spending on food,essentials;food,credit_card
4028,expense,transport,2026-01-14,cash,Spending on transport,essentials;recurring,checking
1096,expense,shopping,2025-08-11,cash,Spending on shopping,weekly;essentials,checking
4820,expense,rent,2025-07-11,cash,Spending on rent,budget;essentials,wallet
3832,income,salary,2026-03-23,credit_card,Salary,salary;monthly,wallet
7397,income,salary,2026-01-18,bank_transfer,Salary,monthly;salary,credit_card
5480,income,salary,2025-10-18,bank_transfer,Salary,monthly;monthly,wallet
4483,expense,rent,2026-02-17,cash,Spending on rent,recurring;recurring,wallet
3497,expense,utilities,2025-10-29,credit_card,Spending on utilities,recurring;budget,checking
883,expense,transport,2025-08-02,debit_card,Spending on transport,essentials;transport,credit_card
4947,expense,rent,2026-01-23,credit_card,Spending on rent,rent;recurring,credit_card
3305,income,salary,2025-08-04,debit_card,Salary,salary;monthly,credit_card
1019,income,salary,2025-10-24,debit_card,Salary,payroll;monthly,checking
3169,expense,shopping,2025-05-25,bank_transfer,Spending on shopping,shopping;essentials,credit_card
6536,income,salary,2025-12-07,cash,Salary,payroll;payroll,savings
6345,income,salary,2025-05-07,debit_card,Salary,payroll;salary,savings
3415,expense,shopping,2025-10-06,bank_transfer,Spending on shopping,essentials;budget,credit_card
5054,income,salary,2026-01-26,credit_card,Salary,salary;salary,checking
5181,income,salary,2025-08-31,bank_transfer,Salary,salary;monthly,wallet
905,expense,rent,2025-08-20,credit_card,Spending on rent,weekly;recurring,wallet
4784,expense,utilities,2025-12-15,bank_transfer,Spending on utilities,recurring;weekly,checking
2865,income,salary,2026-02-12,bank_transfer,Salary,payroll;monthly,wallet
2118,expense,food,2025-10-05,debit_card,Spending on food,budget;food,savings
716,expense,transport,2025-08-11,cash,Spending on transport,weekly;essentials,wallet
1992,expense,food,2025-09-26,credit_card,Spending on food,essentials;budget,wallet
7351,income,salary,2025-05-02,bank_transfer,Salary,payroll;payroll,savings
952,expense,entertainment,2025-06-03,debit_card,Spending on entertainment,essentials;essentials,checking
1180,expense,shopping,2025-06-17,bank_transfer,Spending on shopping,shopping;weekly,wallet
1745,expense,shopping,2025-05-28,cash,Spending on shopping,essentials;essentials,checking
1726,expense,food,2025-12-23,debit_card,Spending on food,weekly;recurring,savings
4189,expense,shopping,2025-05-09,bank_transfer,Spending on shopping,weekly;weekly,wallet
8043,income,salary,2025-07-08,bank_transfer,Salary,salary;monthly,wallet
2585,income,salary,2025-07-11,credit_card,Salary,payroll;payroll,savings
2823,expense,transport,2025-12-29,debit_card,Spending on transport,recurring;transport,savings
3396,expense,food,2025-09-04,cash,Spending on food,food;recurring,credit_card
3275,expense,shopping,2025-06-30,debit_card,Spending on shopping,essentials;weekly,checking
4069,expense,utilities,2025-09-18,bank_transfer,Spending on utilities,utilities;essentials,checking
2879,expense,entertainment,2025-07-18,debit_card,Spending on entertainment,weekly;recurring,credit_card
9623,income,salary,2025-11-16,bank_transfer,Salary,payroll;payroll,credit_card
4166,expense,food,2026-03-05,cash,Spending on food,budget;food,savings
2829,expense,transport,2026-01-22,cash,Spending on transport,weekly;essentials,savings
1134,expense,utilities,2025-10-10,credit_card,Spending on utilities,weekly;budget,wallet
2083,expense,rent,2025-07-24,credit_card,Spending on rent,recurring;budget,credit_card
1847,expense,rent,2025-09-20,cash,Spending on rent,rent;budget,wallet
8675,income,salary,2025-06-21,cash,Salary,salary;salary,checking
8791,income,salary,2026-01-16,bank_transfer,Salary,salary;salary,savings
9434,income,salary,2026-01-25,bank_transfer,Salary,payroll;salary,wallet
3064,expense,entertainment,2026-01-21,cash,Spending on entertainment,budget;budget,checking
1143,expense,food,2025-12-06,credit_card,Spending on food,recurring;food,checking
500,expense,entertainment,2026-03-09,debit_card,Spending on entertainment,entertainment;budget,wallet
4852,expense,shopping,2026-02-18,bank_transfer,Spending on shopping,recurring;weekly,credit_card
492,expense,shopping,2025-12-10,cash,Spending on shopping,essentials;budget,savings
8091,income,salary,2025-10-11,credit_card,Salary,payroll;payroll,credit_card
2681,expense,utilities,2025-05-11,cash,Spending on utilities,budget;essentials,savings
3667,expense,transport,2026-02-14,cash,Spending on transport,budget;weekly,savings
4397,expense,food,2026-02-22,cash,Spending on food,food;budget,credit_card
3568,expense,utilities,2026-02-11,debit_card,Spending on utilities,budget;weekly,checking
2555,expense,transport,2025-10-03,credit_card,Spending on transport,recurring;budget,wallet
1582,expense,rent,2025-11-28,cash,Spending on rent,rent;budget,wallet
1471,expense,utilities,2025-12-14,debit_card,Spending on utilities,budget;essentials,wallet
2575,expense,transport,2026-01-10,cash,Spending on transport,budget;recurring,wallet
1675,expense,entertainment,2025-06-29,credit_card,Spending on entertainment,weekly;essentials,credit_card
4115,expense,entertainment,2025-12-31,cash,Spending on entertainment,recurring;recurring,checking
3091,expense,transport,2025-12-15,credit_card,Spending on transport,transport;budget,checking
4266,expense,entertainment,2026-03-12,bank_transfer,Spending on entertainment,entertainment;budget,checking
1259,expense,entertainment,2026-02-27,bank_transfer,Spending on entertainment,weekly;budget,savings
1187,expense,transport,2025-07-29,bank_transfer,Spending on transport,transport;budget,credit_card
2496,expense,transport,2025-12-29,cash,Spending on transport,transport;transport,wallet
4300,expense,rent,2026-02-14,cash,Spending on rent,recurring;essentials,credit_card
4160,income,salary,2025-10-08,debit_card,Salary,monthly;payroll,wallet
4809,expense,entertainment,2026-01-12,cash,Spending on entertainment,budget;recurring,wallet
1059,expense,rent,2026-03-14,credit_card,Spending on rent,rent;recurring,credit_card
3429,expense,food,2025-05-06,bank_transfer,Spending on food,recurring;budget,savings
6261,income,salary,2025-08-21,cash,Salary,monthly;payroll,checking
3668,income,salary,2025-06-16,bank_transfer,Salary,monthly;monthly,checking
3282,expense,transport,2025-07-30,credit_card,Spending on transport,transport;weekly,checking
3322,income,salary,2025-11-04,debit_card,Salary,monthly;payroll,credit_card
9967,income,salary,2025-11-11,bank_transfer,Salary,payroll;salary,savings
1943,expense,utilities,2025-10-27,cash,Spending on utilities,recurring;utilities,credit_card
4941,expense,food,2025-11-07,cash,Spending on food,weekly;weekly,checking
2750,expense,rent,2025-09-09,cash,Spending on rent,recurring;budget,savings
3988,expense,entertainment,2026-02-09,bank_transfer,Spending on entertainment,entertainment;budget,wallet
2858,expense,food,2025-12-22,cash,Spending on food,recurring;budget,credit_card
8708,income,salary,2026-01-14,cash,Salary,payroll;salary,credit_card
1470,expense,rent,2025-12-07,credit_card,Spending on rent,weekly;essentials,credit_card
3397,expense,food,2025-06-20,debit_card,Spending on food,essentials;budget,wallet
1203,expense,transport,2026-03-09,cash,Spending on transport,budget;weekly,savings
438,expense,transport,2026-01-20,credit_card,Spending on transport,budget;essentials,savings
639,expense,shopping,2026-01-13,debit_card,Spending on shopping,recurring;recurring,savings
4539,expense,utilities,2025-06-30,credit_card,Spending on utilities,essentials;utilities,savings
138,expense,utilities,2026-01-18,bank_transfer,Spending on utilities,utilities;weekly,savings
830,expense,entertainment,2025-07-15,debit_card,Spending on entertainment,essentials;essentials,savings
3201,expense,transport,2025-08-25,debit_card,Spending on transport,transport;recurring,wallet
1985,expense,entertainment,2026-03-16,bank_transfer,Spending on entertainment,entertainment;weekly,checking
1550,expense,shopping,2025-05-30,credit_card,Spending on shopping,budget;budget,credit_card
1899,expense,food,2025-09-10,bank_transfer,Spending on food,budget;recurring,checking
1500,expense,utilities,2026-02-21,cash,Spending on utilities,essentials;recurring,checking
1386,expense,rent,2025-07-30,credit_card,Spending on rent,weekly;recurring,checking
764,expense,rent,2026-03-15,debit_card,Spending on rent,rent;rent,savings
2842,expense,rent,2025-11-06,bank_transfer,Spending on rent,recurring;essentials,savings
4000,income,salary,2025-09-08,debit_card,Salary,salary;monthly,savings
2048,expense,food,2025-07-28,debit_card,Spending on food,budget;recurring,checking
2895,expense,rent,2026-01-07,bank_transfer,Spending on rent,weekly;budget,savings
422,expense,entertainment,2025-05-11,credit_card,Spending on entertainment,recurring;weekly,credit_card
3218,expense,rent,2026-01-02,debit_card,Spending on rent,essentials;rent,checking
2047,expense,transport,2025-09-24,debit_card,Spending on transport,essentials;weekly,savings
7935,income,salary,2026-01-16,debit_card,Salary,monthly;payroll,checking
2136,expense,shopping,2025-08-21,debit_card,Spending on shopping,essentials;budget,checking
268,expense,rent,2026-01-16,bank_transfer,Spending on rent,recurring;budget,wallet
3195,expense,food,2025-06-20,cash,Spending on food,budget;essentials,savings
2127,income,salary,2025-10-31,debit_card,Salary,payroll;payroll,credit_card
8289,income,salary,2025-12-24,debit_card,Salary,payroll;salary,wallet
4944,expense,food,2025-10-13,credit_card,Spending on food,essentials;weekly,credit_card
3695,income,salary,2026-03-05,credit_card,Salary,salary;monthly,credit_card
198,expense,food,2026-02-01,bank_transfer,Spending on food,essentials;essentials,credit_card
2669,expense,rent,2025-09-04,debit_card,Spending on rent,essentials;recurring,credit_card
3526,expense,rent,2025-05-03,bank_transfer,Spending on rent,rent;rent,credit_card
3807,expense,transport,2025-06-12,debit_card,Spending on transport,recurring;weekly,credit_card
1563,expense,entertainment,2026-03-05,bank_transfer,Spending on entertainment,recurring;entertainment,credit_card
1633,expense,shopping,2025-11-26,credit_card,Spending on shopping,budget;recurring,credit_card
3486,expense,rent,2025-07-19,credit_card,Spending on rent,essentials;rent,credit_card
3229,expense,rent,2025-06-27,debit_card,Spending on rent,weekly;weekly,credit_card
3568,expense,utilities,2025-05-01,bank_transfer,Spending on utilities,essentials;recurring,checking
511,expense,entertainment,2025-06-05,bank_transfer,Spending on entertainment,weekly;entertainment,savings
4207,expense,entertainment,2026-03-29,cash,Spending on entertainment,weekly;essentials,checking
1050,expense,shopping,2025-10-28,debit_card,Spending on shopping,shopping;essentials,checking
2760,expense,shopping,2025-12-29,cash,Spending on shopping,shopping;recurring,savings
3180,expense,food,2026-01-19,debit_card,Spending on food,recurring;recurring,checking
2185,expense,entertainment,2025-05-31,cash,Spending on entertainment,recurring;weekly,credit_card
4988,expense,entertainment,2025-11-19,bank_transfer,Spending on entertainment,entertainment;recurring,wallet
372,expense,entertainment,2025-05-03,debit_card,Spending on entertainment,recurring;budget,savings
