amount,type,category,account,description,date,tags
2501,expense,entertainment,savings,Spending on entertainment,2024-06-23,entertainment;recurring
2842,expense,utilities,credit_card,Spending on utilities,2024-09-10,essentials;utilities
884,expense,utilities,checking,Spending on utilities,2024-06-15,essentials;essentials
4910,income,salary,checking,Salary,2024-08-16,payroll;payroll
4666,expense,food,wallet,Spending on food,2024-12-16,essentials;food
1351,expense,utilities,savings,Spending on utilities,2024-07-21,essentials;weekly
4044,expense,entertainment,checking,Spending on entertainment,2024-08-17,recurring;budget
1201,expense,utilities,wallet,Spending on utilities,2024-02-24,weekly;recurring
835,expense,rent,wallet,Spending on rent,2024-03-22,recurring;essentials
7394,income,salary,savings,Salary,2024-01-15,payroll;payroll
1664,income,salary,savings,Salary,2024-04-29,payroll;payroll
4383,expense,rent,credit_card,Spending on rent,2024-02-01,weekly;budget
3483,expense,rent,savings,Spending on rent,2024-11-18,essentials;weekly
8972,income,salary,wallet,Salary,2024-09-04,monthly;payroll
8068,income,salary,savings,Salary,2024-04-22,payroll;payroll
2251,income,salary,credit_card,Salary,2024-05-19,monthly;payroll
4863,expense,food,credit_card,Spending on food,2024-11-05,budget;essentials
1387,expense,transport,savings,Spending on transport,2024-05-27,weekly;weekly
2917,expense,utilities,checking,Spending on utilities,2024-09-15,utilities;weekly
9223,income,salary,checking,Salary,2024-04-02,monthly;salary
6563,income,salary,savings,Salary,2024-06-05,monthly;monthly
3519,expense,shopping,checking,Spending on shopping,2024-07-28,shopping;budget
2318,expense,transport,wallet,Spending on transport,2024-10-20,recurring;transport
2117,expense,food,wallet,Spending on food,2024-01-03,food;recurring
3934,expense,utilities,wallet,Spending on utilities,2024-08-30,weekly;essentials
153,expense,food,savings,Spending on food,2024-07-07,recurring;budget
2175,expense,food,savings,Spending on food,2024-11-22,recurring;budget
3196,expense,food,wallet,Spending on food,2024-05-26,weekly;food
3881,expense,entertainment,checking,Spending on entertainment,2024-09-02,recurring;recurring
9283,income,salary,wallet,Salary,2024-06-08,salary;payroll
4704,expense,entertainment,credit_card,Spending on entertainment,2024-04-26,budget;recurring
4449,expense,utilities,credit_card,Spending on utilities,2024-03-18,utilities;weekly
2618,expense,food,wallet,Spending on food,2024-03-04,weekly;essentials
4211,expense,entertainment,wallet,Spending on entertainment,2024-10-24,essentials;weekly
666,expense,rent,savings,Spending on rent,2024-05-14,recurring;rent
2198,expense,entertainment,wallet,Spending on entertainment,2024-03-22,recurring;essentials
1638,expense,entertainment,wallet,Spending on entertainment,2024-01-01,essentials;recurring
2946,expense,transport,savings,Spending on transport,2024-10-04,transport;essentials
2184,expense,rent,credit_card,Spending on rent,2024-09-06,recurring;essentials
3217,expense,utilities,credit_card,Spending on utilities,2024-11-06,essentials;recurring
5144,income,salary,wallet,Salary,2024-09-08,salary;monthly
1671,expense,entertainment,credit_card,Spending on entertainment,2024-05-06,entertainment;recurring
1517,expense,utilities,wallet,Spending on utilities,2024-01-14,essentials;utilities
4419,expense,shopping,savings,Spending on shopping,2024-04-20,shopping;essentials
4484,expense,shopping,savings,Spending on shopping,2024-10-04,budget;recurring
4219,expense,utilities,wallet,Spending on utilities,2024-10-20,essentials;recurring
1688,expense,utilities,savings,Spending on utilities,2024-07-29,recurring;recurring
1616,expense,transport,checking,Spending on transport,2024-04-21,recurring;transport
403,expense,rent,savings,Spending on rent,2024-12-27,budget;essentials
1477,expense,utilities,checking,Spending on utilities,2024-10-19,essentials;utilities
5381,income,salary,wallet,Salary,2024-04-04,salary;salary
113,expense,transport,credit_card,Spending on transport,2024-03-06,budget;essentials
2687,expense,transport,savings,Spending on transport,2024-01-23,recurring;budget
2545,expense,rent,savings,Spending on rent,2024-12-20,essentials;recurring
1957,income,salary,credit_card,Salary,2024-11-17,salary;monthly
1625,income,salary,wallet,Salary,2024-12-22,payroll;salary
2829,expense,transport,savings,Spending on transport,2024-07-11,weekly;weekly
4332,expense,utilities,credit_card,Spending on utilities,2024-01-24,recurring;weekly
4219,expense,utilities,savings,Spending on utilities,2024-08-06,essentials;essentials
3038,expense,entertainment,savings,Spending on entertainment,2024-08-12,entertainment;essentials
4232,expense,utilities,savings,Spending on utilities,2024-05-25,recurring;weekly
3992,expense,transport,credit_card,Spending on transport,2024-11-18,transport;recurring
4132,income,salary,savings,Salary,2024-06-21,salary;monthly
3181,expense,entertainment,credit_card,Spending on entertainment,2024-01-23,essentials;essentials
2617,expense,food,savings,Spending on food,2024-02-13,budget;weekly
4526,expense,shopping,wallet,Spending on shopping,2024-10-16,recurring;weekly
1636,income,salary,wallet,Salary,2024-10-01,payroll;salary
4371,income,salary,savings,Salary,2024-04-28,monthly;payroll
4920,income,salary,wallet,Salary,2024-08-12,payroll;salary
1875,expense,transport,credit_card,Spending on transport,2024-01-19,recurring;essentials
5884,income,salary,checking,Salary,2024-01-08,monthly;monthly
2144,expense,rent,checking,Spending on rent,2024-09-19,weekly;recurring
8406,income,salary,credit_card,Salary,2024-11-22,salary;salary
3016,income,salary,savings,Salary,2024-02-18,payroll;payroll
1569,income,salary,checking,Salary,2024-08-01,monthly;payroll
2303,expense,food,wallet,Spending on food,2024-04-27,budget;essentials
6544,income,salary,credit_card,Salary,2024-03-24,monthly;salary
611,expense,transport,checking,Spending on transport,2024-03-05,recurring;transport
1265,expense,shopping,wallet,Spending on shopping,2024-11-24,weekly;weekly
4519,income,salary,savings,Salary,2024-11-02,payroll;salary
247,expense,entertainment,credit_card,Spending on entertainment,2024-03-14,budget;budget
4234,expense,food,savings,Spending on food,2024-10-11,essentials;food
3349,expense,transport,wallet,Spending on transport,2024-04-09,weekly;transport
4578,expense,utilities,credit_card,Spending on utilities,2024-12-05,weekly;recurring
4260,expense,entertainment,credit_card,Spending on entertainment,2024-06-11,weekly;weekly
3418,income,salary,savings,Salary,2024-04-22,monthly;monthly
2460,expense,entertainment,wallet,Spending on entertainment,2024-03-28,essentials;budget
4361,expense,shopping,credit_card,Spending on shopping,2024-04-21,recurring;recurring
2679,expense,entertainment,wallet,Spending on entertainment,2024-10-15,weekly;entertainment
